,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,1296674,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
55,"In My Mind",Dynoro,1275635,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
56,"Keanu Reeves",Logic,1275040,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK
57,Youngblood,"5 Seconds of Summer",1274481,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
58,"Taste (feat. Offset)",Tyga,1248413,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
59,"Leave Me Alone","Flipp Dinero",1246365,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
60,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,1234893,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
61,"Promises (with Sam Smith)","Calvin Harris",1231738,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
62,"Someone You Loved","Lewis Capaldi",1226015,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
63,"Bad Liar","Imagine Dragons",1188962,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
64,idontwannabeyouanymore,"Billie Eilish",1173804,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
65,"NI BIEN NI MAL","Bad Bunny",1145398,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
66,"I Like It","Cardi B",1131460,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
67,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")","Dua Lipa",1125589,https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l
68,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",1116305,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
69,"no tears left to cry","Ariana Grande",1105920,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
70,Imposible,"Luis Fonsi",1097471,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF
71,"Un Año","Sebastian Yatra",1090417,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
72,"God's Plan",Drake,1080842,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
73,"Don't Call Me Up",Mabel,1080531,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
74,"Love Someone","Lukas Graham",1075672,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
75,"Jocelyn Flores",XXXTENTACION,1063792,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
76,2002,Anne-Marie,1059538,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
77,Reggaeton,"J Balvin",1057364,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
78,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",1054644,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
79,"Pure Water (with Migos)",Mustard,1053009,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
80,"Say My Name","David Guetta",1044407,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
81,Money,"Cardi B",1041201,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
82,Bubalu,"Becky G",1038389,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
83,Natural,"Imagine Dragons",1032664,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
84,"Beautiful (feat. Camila Cabello)",Bazzi,1024099,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
85,"Shape of You","Ed Sheeran",1020635,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
86,"Solo de Mi","Bad Bunny",1000653,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
87,"I Like Me Better",Lauv,998627,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
88,"Let You Love Me","Rita Ora",996508,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
89,Splashin,"Rich The Kid",995702,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
90,"Body (feat. brando)","Loud Luxury",990242,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
91,"Another One Bites The Dust - Remastered 2011",Queen,986914,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
92,Undecided,"Chris Brown",974203,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
93,bellyache,"Billie Eilish",967685,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
94,"Armed And Dangerous","Juice WRLD",967543,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
95,Believer,"Imagine Dragons",966064,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
96,FRIENDS,Marshmello,964264,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
97,"Psycho (feat. Ty Dolla $ign)","Post Malone",961090,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
98,"Lie To Me (feat. Julia Michaels)","5 Seconds of Summer",958624,https://open.spotify.com/track/6GzApXoBQiiAjak3tOQfV3
99,Perfect,"Ed Sheeran",954839,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
100,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",951126,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
101,"Ruin My Life","Zara Larsson",949728,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
102,"One Kiss (with Dua Lipa)","Calvin Harris",945063,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
103,"Lost In Japan","Shawn Mendes",941651,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
