Position,"Track Name",Artist,Streams,URL
76,"NI BIEN NI MAL","Bad Bunny",1203429,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
77,"Don't Call Me Up",Mabel,1197869,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
78,"Un Año","Sebastian Yatra",1196917,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
79,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",1192153,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
80,"I Like It","Cardi B",1180674,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
81,"Someone You Loved","Lewis Capaldi",1177111,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
82,breathin,"Ariana Grande",1166693,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
83,Imposible,"Luis Fonsi",1141379,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF
84,2002,Anne-Marie,1120882,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
85,"Pure Water (with Migos)",Mustard,1117647,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
86,"God's Plan",Drake,1115924,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
87,"Bad Liar","Imagine Dragons",1113120,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
88,Reggaeton,"J Balvin",1105933,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
89,"Say My Name","David Guetta",1102815,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
90,idontwannabeyouanymore,"Billie Eilish",1102243,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
91,"Jocelyn Flores",XXXTENTACION,1081070,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
92,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")","Dua Lipa",1071620,https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l
93,"Shape of You","Ed Sheeran",1069308,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
94,"Love Someone","Lukas Graham",1068222,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
95,Money,"Cardi B",1065798,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
96,"Better When You're Gone","David Guetta",1065408,https://open.spotify.com/track/4Tvw0lweq9l2JPQKFbpbBQ
97,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",1063903,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
98,"Let You Love Me","Rita Ora",1061941,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
99,Bubalu,"Becky G",1060051,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
100,"God is a woman","Ariana Grande",1058003,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
101,Natural,"Imagine Dragons",1054458,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
102,"Body (feat. brando)","Loud Luxury",1053707,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
103,"Beautiful (feat. Camila Cabello)",Bazzi,1045452,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
104,"Another One Bites The Dust - Remastered 2011",Queen,1042915,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
105,"Ruin My Life","Zara Larsson",1031020,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
106,"Solo de Mi","Bad Bunny",1018867,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
107,Splashin,"Rich The Kid",1015632,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
