,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Who Do You Love (with 5 Seconds of Summer)","The Chainsmokers",1140460,https://open.spotify.com/track/7ql71hBakyMi0Lxiq3Mugs
56,"Better Now","Post Malone",1138275,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
57,"Outta My Head (with John Mayer)",Khalid,1117815,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP
58,"Adan y Eva","Paulo Londra",1108953,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
59,Desconocidos,"Mau y Ricky",1097554,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
60,xanny,"Billie Eilish",1094180,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY
61,"my strange addiction","Billie Eilish",1086155,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
62,"SICKO MODE","Travis Scott",1076677,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
63,"Pure Water (with Migos)",Mustard,1063668,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
64,"Be Alright","Dean Lewis",1054119,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k
65,"Te Vi","Piso 21",1054101,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
66,"Girls Like You (feat. Cardi B)","Maroon 5",1049177,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
67,Earth,"Lil Dicky",1046843,https://open.spotify.com/track/2S1LebN6AXXQqJolBxlWgO
68,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",1041999,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
69,"rockstar (feat. 21 Savage)","Post Malone",1036239,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
70,"Piece Of Your Heart",MEDUZA,1019241,https://open.spotify.com/track/5p1ex0pXv6jSPJ6QbumQpD
71,"Carry On",Kygo,1012201,https://open.spotify.com/track/3y3brCCecHC3Db18aIOnny
72,"Lucid Dreams","Juice WRLD",986501,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
73,Robbery,"Juice WRLD",973053,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
