Position,"Track Name",Artist,Streams,URL
57,HOME,BTS,1356174,https://open.spotify.com/track/7lthOBXNue2IvedLRfkod8
58,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",1354174,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
59,"Eastside (with Halsey & Khalid)","benny blanco",1341357,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
60,"Who Do You Love (with 5 Seconds of Summer)","The Chainsmokers",1322091,https://open.spotify.com/track/7ql71hBakyMi0Lxiq3Mugs
61,"My Bad",Khalid,1320097,https://open.spotify.com/track/2XKFnwB6djxrJCjR3PdeRb
62,"Giant (with Rag'n'Bone Man)","Calvin Harris",1311066,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
63,"Bohemian Rhapsody - Remastered 2011",Queen,1299287,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
64,"MIA (feat. Drake)","Bad Bunny",1290761,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
65,"Better Now","Post Malone",1287595,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
66,"Adan y Eva","Paulo Londra",1282208,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
67,Desconocidos,"Mau y Ricky",1237980,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
68,"Te Vi","Piso 21",1200615,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
69,"Be Alright","Dean Lewis",1193140,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k
70,"SICKO MODE","Travis Scott",1182840,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
71,"Un Año","Sebastian Yatra",1161976,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
72,Dionysus,BTS,1158506,https://open.spotify.com/track/6JdS5rJvJaRA7B1tcm7kxZ
73,"Girls Like You (feat. Cardi B)","Maroon 5",1156770,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
74,Robbery,"Juice WRLD",1150925,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
75,"rockstar (feat. 21 Savage)","Post Malone",1150037,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
76,"Jamais Vu",BTS,1138984,https://open.spotify.com/track/0eeeyCAGnGZInPtpkdYiPa
77,"Contra La Pared","Sean Paul",1136025,https://open.spotify.com/track/3JjaofJ0lCeEsFSZqppzOp
78,"Saturday Nights",Khalid,1125265,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
79,"Look Back At It","A Boogie Wit da Hoodie",1123724,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
80,Paradise,Bazzi,1119872,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
81,"Please Me","Cardi B",1105463,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
82,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",1104485,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
83,"Mixed Personalities (feat. Kanye West)","YNW Melly",1066178,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
84,"Lucid Dreams","Juice WRLD",1064614,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
85,"Bad Liar","Imagine Dragons",1061245,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
86,Amanece,"Anuel Aa",1058146,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
87,"Ella Quiere Beber - Remix","Anuel Aa",1047070,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
88,"Esclavo de Tus Besos","Manuel Turizo",1038739,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
89,"i love you","Billie Eilish",1027020,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
90,"Shape of You","Ed Sheeran",1019923,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
91,SAD!,XXXTENTACION,1016045,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
92,ilomilo,"Billie Eilish",1007452,https://open.spotify.com/track/7qEKqBCD2vE5vIBsrUitpD
93,"Just You and I","Tom Walker",1005782,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo
94,"a lot","21 Savage",989351,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
95,"Walk Me Home",P!nk,987963,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
96,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",975703,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
97,Youngblood,"5 Seconds of Summer",975291,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
98,Sixteen,"Ellie Goulding",964643,https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd
99,"Always Remember Us This Way","Lady Gaga",959093,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
100,"Intro : Persona",BTS,939028,https://open.spotify.com/track/2isSdmQfVv32j2haL6hk9x
101,Believer,"Imagine Dragons",938718,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
102,"listen before i go","Billie Eilish",938021,https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE
103,Thotiana,Blueface,934001,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
104,Moonlight,XXXTENTACION,932523,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
105,"Racks In The Middle (feat. Roddy Ricch and Hit-Boy)","Nipsey Hussle",931324,https://open.spotify.com/track/6ya8ejoKgw906Y8LWclqrp
106,idontwannabeyouanymore,"Billie Eilish",931043,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
107,2002,Anne-Marie,923188,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
108,Rolex,"Capital Bra",919313,https://open.spotify.com/track/38lQ7lYhN3eSWepnZHaiBF
109,"In My Mind",Dynoro,910310,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
110,"Faucet Failure","Ski Mask The Slump God",896208,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
